template_id,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
75,2025,6,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1435,277,86.2025491075494,1.3971474973160956,20.726181213419125,0.7428191444326521,167.93078091963284,22,1,12466,3573,732,3214,19,4928
76,2025,11,TZ,ATA Airlines d/b/a ATA,MDW,"Chicago, IL: Chicago Midway International",1443,243,34.04468386652012,4.447691576526514,121.25382578355341,1.3681634231009845,81.88965288387254,16,3,16137,5146,664,4435,33,5859
77,2025,6,EV,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",2854,839,101.37548388222675,9.079083337691658,406.2719819679803,0.06044823923655053,322.2077658201292,146,14,68368,19583,4016,17630,109,27030
78,2025,5,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3268,409,139.76214568657755,12.131150707771042,133.64746890187445,0.322426982194882,123.13946255630688,15,8,25216,7468,1339,6816,33,9560
79,2025,4,WN,Southwest Airlines Co.,DAL,"Dallas, TX: Dallas Love Field",4164,710,168.20036284154511,21.310562112577244,154.90464271881834,2.040546090910588,363.5420816687537,207,13,35635,11072,1631,9310,64,13558
80,2025,8,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",7315,1529,210.16536749978664,35.86490287594656,558.5005403314128,1.8728688564935991,722.5963142711065,229,21,100077,30421,5469,25418,212,38557
81,2025,9,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",1644,280,59.637082916190074,4.6534209620722855,167.22976956734033,0.4109642827397274,48.07126057307461,16,6,16136,5215,741,4501,31,5648
82,2025,1,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16117,2436,570.275484871333,88.06484521811825,1115.234161011115,2.0276746005352035,660.3983725020688,394,25,156447,49286,9819,40518,256,56568
83,2025,3,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4809,739,132.957931762712,22.756542782001645,313.1021728893827,0.8227827091712678,269.36256726420083,134,5,42692,13343,1829,11015,74,16431
84,2025,7,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",7349,1727,222.76968138470127,40.04509600758814,620.8233775425653,0.7125351410308758,842.6529109869756,289,21,114401,33623,6523,28674,161,45420
85,2025,7,RU,ExpressJet Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",4191,828,100.5570515589691,25.166940081896556,336.5996618513809,3.0087288990015004,362.6644355805391,54,14,54122,15908,3086,13565,76,21487
86,2025,1,OH,PSA Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2056,436,93.13190688777789,13.081272508130786,125.74789927362075,0.6479290177051534,203.39104004075548,125,5,36080,11368,2264,9344,59,13045
87,2025,5,XE,ExpressJet Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",2421,396,69.81290270785142,5.496608382526822,122.15165909130658,0.5691407852060636,197.97156028414508,21,3,23613,6994,1254,6383,30,8952
88,2025,8,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2654,208,109.18764489617696,1.8294880056391918,8.691648328183911,1.1033432105572403,87.18787125624932,20,1,10201,3103,557,2590,21,3930
89,2025,7,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1974,374,127.07170474729975,18.462520678667197,96.13815079460736,1.0718743700592956,131.25366478328763,23,8,24735,7271,1410,6199,35,9820
90,2025,8,HP,America West Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5743,892,272.6248448195592,19.811295371305405,343.7963976371152,9.840245757353166,245.93056055273115,64,13,45343,13784,2478,11516,96,17469
91,2025,9,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",6028,774,180.910900361293,18.05251221092752,182.56420525090047,1.6472975433030794,390.8261448133489,37,9,34580,11175,1588,9647,66,12104
92,2025,3,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12818,2034,469.65952711845006,78.28131732323665,731.5610320780411,3.915372524099973,750.5853829240727,384,45,131161,40989,5619,33843,228,50482
93,2025,3,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3462,433,139.67092444744782,12.131140277263778,140.15082225000435,0.5039331244019883,140.54265259632206,78,3,27688,8654,1186,7144,48,10656
94,2025,12,DH,Independence Air,IAD,"Washington, DC: Washington Dulles International",5554,1174,74.0157480025182,9.54002570847049,388.03360193258015,0.47186255144057987,701.9436382516519,137,10,78325,23975,4283,19400,145,30522
95,2025,9,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",6938,751,182.6377426180029,22.979881924050055,215.55053635660883,2.630024888497476,327.1993956837062,182,13,50652,16369,2326,14131,97,17729
96,2025,4,XE,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",3916,1256,89.9475265305036,7.444656993184116,857.4251580987146,1.4613110421250517,299.72051900152513,151,11,101084,31404,4627,26411,182,38460
97,2025,4,NW,Northwest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",7863,1212,316.18175429676944,32.848117262567285,509.971282075561,3.73159570856736,349.2714035728594,96,6,60151,18688,2753,15716,108,22886
98,2025,2,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3486,520,117.54348321471208,22.716264588556594,163.96447015978032,0.2340334904079334,215.53927508942127,68,5,42795,13070,2618,11328,68,15711
99,2025,10,EV,ExpressJet Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1375,230,67.58770531883937,0.6846611899507123,58.52730642824658,0.054815251150025446,103.1468012757732,25,3,16759,5293,656,4646,26,6138
100,2025,4,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16261,2213,539.1600061061015,48.00377581678785,915.9619362330038,2.401630635623562,707.4713482402781,249,30,145017,45051,6639,37889,262,55176
101,2025,8,WN,Southwest Airlines Co.,SAT,"San Antonio, TX: San Antonio International",1339,267,93.77139508745891,6.7834021448967095,32.878792469612804,0.9355835213491766,132.62930307727177,15,2,12938,3934,707,3286,27,4984
102,2025,6,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3046,644,168.67187883888286,21.616760453451647,141.19762417753137,1.8915080022538904,310.62327371840837,27,17,38175,10936,2242,9844,60,15093
103,2025,10,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",3118,361,120.75015563096778,6.520663041510016,103.5939481234071,1.0350860622915412,129.09910070025796,33,3,22438,7085,878,6220,36,8219
104,2025,9,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6447,957,194.5462640840156,18.064010514499095,485.1654124899869,0.5843195581197185,258.64052851793963,86,11,63236,20434,2904,17642,122,22134
105,2025,5,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12484,2239,495.38306789783803,113.9751508338203,781.2529396801235,3.0881642495772037,845.3022386142071,276,83,160166,47428,8510,43297,209,60722
106,2025,1,EV,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",3246,759,128.2613547110399,20.892843140504432,302.98065640832283,0.2761258782059975,306.59139184156464,238,5,54275,17100,3406,14056,89,19624
107,2025,1,NW,Northwest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",7419,1509,360.49380178042975,39.672222965424666,675.0941732834461,5.3885708984061935,428.34964531945235,141,11,77317,24359,4852,20024,126,27956
108,2025,10,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",1840,319,54.70315953117393,4.1926050807633555,202.52898201482466,0.22617848185968123,57.3490880407229,38,6,16468,5201,644,4565,26,6032
109,2025,1,CO,Continental Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",6760,1122,210.76307885434173,30.050230524792912,599.3055848356134,8.492468155865787,273.38742412769335,49,10,51411,16197,3226,13315,84,18589
110,2025,8,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4699,806,177.17298056567535,28.941751766996127,274.771403103088,0.8642805657705588,324.2446464341744,80,8,44996,13679,2459,11428,95,17335
111,2025,4,XE,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1409,307,56.14828094803424,4.071352966882389,136.08092196448683,0.5957853968840393,110.10448247279233,60,2,23848,7411,1091,6230,43,9073
112,2025,11,OO,SkyWest Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4790,518,173.37986580745206,28.924874091393317,127.78073317839743,4.132557058919227,183.78092532645215,48,3,27495,8765,1132,7557,57,9984
113,2025,7,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1471,387,102.48524989742792,20.0552854944975,150.8477052545946,0.6985356962251492,112.91472883481696,30,3,25347,7451,1445,6353,35,10063
114,2025,2,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1336,348,87.58637008120355,8.439313537825331,127.5867507095964,0.9022053999203518,123.48538948958229,106,4,29083,8883,1779,7698,46,10677
115,2025,2,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1610,255,54.785320248154974,11.857074124564086,83.66247286990466,0.35899218914639874,104.33621646068045,45,2,19219,5871,1176,5087,30,7055
116,2025,4,NW,Northwest Airlines Inc.,MEM,"Memphis, TN: Memphis International",2213,330,94.2759693666663,11.072454945745774,154.57372066598936,1.936869372557029,68.13861013443385,30,6,16769,5211,767,4381,30,6380
117,2025,7,RU,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",4767,1393,113.93569829600844,27.674784344001335,877.3841364629416,4.705972857246218,369.2994545817647,215,23,108072,31764,6162,27087,152,42907
118,2025,2,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2228,274,129.0156833336748,16.518394433782994,8.463551736982078,0.5131230362174425,119.49089700850902,12,2,13456,4111,823,3561,21,4940
119,2025,1,XE,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",7243,1361,174.89674504996452,44.2117132646378,722.5998376726328,3.44964130010132,415.84405686287636,129,12,63817,20105,4005,16528,104,23075
120,2025,9,US,US Airways Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",1937,234,51.29420183196515,6.5833662377866045,106.95514337692254,0.5557701896755859,68.6115416613327,39,4,10995,3554,505,3067,21,3848
